Filename,TP-shape,TP-type,TP-color,Noise,Resolution,SourceLink
138,141.jpg,1,1,13,1,1.0,http://infotraficalgerie.dz/wp-content/uploads/2017/05/rn12.jpg
139,142.jpg,1,2,1,0,,not found
140,143.jpg,1,1,3,1,1.0,https://thumbs.dreamstime.com/t/street-sign-city-ouarzazate-central-morocco-latin-arabic-north-africa-32532809.jpg
141,144.jpg,1,1,1,1,1.0,http://archive.aawsat.com/2008/05/26/images/ksa-local2.472247.jpg
142,145.jpg,2,1,4,1,1.0,https://c1.staticflickr.com/3/2810/33251108774_2f314cb917_o.jpg
143,146.jpg,1,1,7,1,1.0,http://3.bp.blogspot.com/-uV-OIHKLBkY/VksBLuVlaJI/AAAAAAAAz6E/zBqYXoHLY1k/s640/Road%2Bsigns%2Bin%2BArabic%252C%2BEnglish%2Band%2BRussian.%2BFormer%2B%2BISIS%2Bcontrolled%2Bal-Hawl%252C%2Bcaptured%2Bby%2BYPG.jpg
144,147.jpg,1,1,1,0,,not found
145,148.jpg,1,1,13,1,,not found
146,149.jpg,1,2,1,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVPuUN0O41DHN7UXx7WjR67WpDdt6ePfhHtIUwjccex4OlhNyk
147,150.jpg,1,2,1,1,1.0,http://mw2.google.com/mw-panoramio/photos/medium/82743784.jpg
148,151.jpg,1,1,13,1,1.0,https://www.davidsanger.com/images/emirates/8-730-1883.uae.m.jpg
149,152.jpg,1,1,1,1,,not found
150,153.jpg,1,1,13,1,,not found
151,154.jpg,1,2,1,1,1.0,http://chaabpress.com/imagesnews/1409226643.jpg
152,155.jpg,1,1,137,1,1.0,http://www.raya.com/file/GetImageCustom/002a1bdc-d77e-4607-9caa-89a321333c94/600/338
153,156.jpg,1,1,13,0,1.0,https://lh3.googleusercontent.com/-8d48y2Swkaw/ToYawV6HtzI/AAAAAAAADvU/HOdJA7AF7IA/s640/IMG_1708.JPG
154,157.jpg,1,2,13,1,1.0,https://www.aljarida.com.tn/sites/default/files/styles/amp_metadata_content_image_min_696px_wide/public/imgarticles/5899_0.jpg?itok=d--paN7D
155,158.jpg,1,2,1,1,,not found
156,159.jpg,3,1,3,1,1.0,https://www.spiriferminerals.com/foto_artyk/maroko_xi_2009/82DSC_1512.jpg
157,160.jpg,1,2,1,1,0.0,https://cdn.liberte-algerie.com/images/article/thumbs/d-lautoroute-payante-en-2016-e346a.jpg
158,161.jpg,1,1,7,1,1.0,http://www.alapn.com/ar/imagesmn/5c9997563c170b73d51306004c2992e0.jpg
159,162.jpg,1,2,7,1,0.0,https://1.bp.blogspot.com/-hxZoqcZ4pho/WWIfiosrhFI/AAAAAAAAAb0/UYLf1-axmDQl7t4YXRw9WQD2eX8x8anLQCLcBGAs/s1600/IMG_0016.JPG
160,163.jpg,1,1,123,1,0.0,http://www.alriyadh.com/media/thumb/11/19/1000_ff5d1e3c82.jpg
161,164.jpg,1,2,124,1,0.0,https://www.otlaat.com/arabtravelersforum/imgDir/11/a2ce4e3a5ab010d821a0dfe392220a4fDSC030903.JPG
162,165.jpg,1,1,13,0,,not found
163,166.jpg,1,1,1,1,,not found
164,167.jpg,2,1,3,1,1.0,https://z-p3-scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/12188948_617398738400028_5715430402077329592_n.jpg?_nc_cat=106&_nc_ht=z-p3-scontent-mad1-1.xx&oh=9c0b7a2e35b61bbbe4b2b639f7471391&oe=5CC1CDB3
165,168.jpg,1,2,1,1,0.0,http://telexpresse.com/files.php?file=Untitled_35_320937040.jpg
166,169.jpg,1,2,12,1,1.0,https://static2.annahar.com/storage/attachments/195/1359958192_0_150622_large.jpg
167,170.jpg,1,2,1,1,1.0,https://al3omk.com/wp-content/uploads/2018/07/o7nH4.jpg
168,171.jpg,1,2,1,1,1.0,https://s1.akhbarona.com/thumbs/article_large/8/5/iment_507260868.jpg
169,172.jpg,1,2,1,1,1.0,http://www.aljadida24.com/wp-content/uploads/2016/12/1602291247313382-550x309.jpg
170,173.jpg,1,1,1,0,,not found
171,174.jpg,2,1,4,1,1.0,http://habal.com/wp-content/uploads/2014/10/10727713_1496726653918467_1466413243_n.jpg
172,175.jpg,1,2,12,1,,not found
173,176.jpg,1,2,12,1,,not found
174,177.jpg,1,1,14,1,0.0,http://website-alyaum.s3-website.eu-central-1.amazonaws.com/uploads/imported_images/media/article/AY1MAN04-C-5.jpg
175,178.jpg,1,1,3,1,,not found
176,179.jpg,1,1,12,1,0.0,http://www.alriyadh.com/media/article/2015/10/30/img/786091696562.jpg
177,180.jpg,1,1,13,1,1.0,https://www.albayan.ae/polopoly_fs/1.3072568.1508370046!/image/image.jpg
178,181.jpg,1,2,1,1,1.0,https://fibladi.com/media/k2/items/src/autoroute-27-4-2015.jpg
179,182.jpg,1,1,3,1,1.0,http://www.qatarscoop.com/wp-content/uploads/2017/09/signs-2.jpg
180,183.jpg,1,2,12,1,1.0,http://infotraficalgerie.dz/wp-content/uploads/2017/08/tizi210-370x270.jpg
181,184.jpg,1,2,1,1,,not found
182,185.jpg,1,1,13,0,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE_JN2Eoj1SUOC4e5K8ilWRvFVPTNWlGqW3OvZnFP6fQqoJf0l
183,186.jpg,1,1,2,1,1.0,http://www.knoozmedia.com/wp-content/uploads/2016/10/934020200.jpg
184,187.jpg,1,1,1,0,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsTto77i-emlsPvlYruLicl5NsDeG8CNq0ti-B-7bY7VJPK2eiKA
185,188.jpg,1,2,7,1,,not found
186,189.jpg,1,1,3,1,,not found
187,190.jpg,1,2,1,1,,not found
188,191.jpg,1,1,1,1,1.0,https://media-cdn.tripadvisor.com/media/photo-s/01/7d/22/8f/bosra-syria-signboard.jpg
189,192.jpg,1,2,1,1,1.0,http://farm8.staticflickr.com/7406/11655407276_07ba4ca105_b.jpg
190,193.jpg,1,3,4,1,1.0,https://www.almowaten.net/wp-content/uploads/IMG_4503-1.jpg
191,194.jpg,1,1,1,1,1.0,http://www.brunette.brucity.be/atelped/blog/egypte/suez/orientation.jpg
192,195.jpg,1,2,1,1,1.0,https://i1.wp.com/www.slaati.com/wp-content/uploads/2017/12/01fa970b-134d-4932-8948-111562cc0a51.jpg?fit=560%2C300&ssl=1
193,196.jpg,1,1,23,1,,not found
194,197.jpg,1,1,27,1,1.0,http://telugu.publictv.in/wp-content/uploads/2018/05/jpeg-2.jpg
195,198.jpg,1,1,1,1,1.0,http://static.jbcgroup.com/amd/pictures/52978de25b9c74a5e33f45f204668f47.jpg
196,199.jpg,1,2,4,1,1.0,http://www.arartoday.org/contents/myuppic/05045959999757.JPG
197,200.jpg,1,1,12,1,1.0,http://arabroads.org/wp-content/uploads/2017/10/22406285_881848718658723_8988343978086598655_n-225x300.jpg
198,201.jpg,1,2,1,1,1.0,https://www.truckcargo.com/wp-content/uploads/2017/02/New-highway-connects-Abu-Dhabi-to-Dubai3.jpg
199,202.jpg,3,1,3,1,1.0,https://thumbs.dreamstime.com/t/route-vers-marrakech-15963027.jpg
200,203.jpg,1,2,1,1,1.0,https://www.algerie360.com/wp-content/uploads/2018/10/autoroute_est_ouest_algerie_rachi_zenati_1__586738690.jpeg
201,204.jpg,2,1,12,0,1.0,https://l450v.alamy.com/450vfr/b77mjf/les-plaques-de-rue-marrakech-maroc-afrique-b77mjf.jpg
202,205.jpg,1,1,1,1,1.0,https://i.ytimg.com/vi/NtGIRaLVCy4/maxresdefault.jpg
203,206.jpg,1,1,1,1,,not found
204,207.jpg,2,1,3,1,1.0,http://ahdath.info/content/uploads/2016/01/TANGER.jpg
205,208.jpg,1,2,1,1,1.0,http://farm6.static.flickr.com/5061/5627103582_08c82e7dca_b.jpg
206,209.jpg,2,1,236,0,0.0,https://media.gettyimages.com/photos/road-signs-in-arabic-and-french-erfoud-near-erg-chebbi-northern-picture-id81515648?s=612x612
207,210.jpg,1,1,1,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7UDLnShcwTmRAIs7t81GmOt5u--vgKXzUUVWpy-Kc6VESZNTLSA
208,211.jpg,1,2,1,1,1.0,http://www.menara.ma/sites/default/files/public/styles/detail_505_295/public/2014/06/13/55992077.jpg
209,212.jpg,1,1,1,1,0.0,http://cdn.akhbaar24.com/d34ebc20-f7fa-4f59-80da-83efeaa9e7b2.jpg
210,213.jpg,2,1,13,1,1.0,https://farm6.static.flickr.com/5350/8930364683_c6aa17f773_b.jpg
211,214.jpg,1,3,34,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6pzRPw7SnxYEtADt6OyrR2Lk3WBd7wQCBxDsavaTvSE4aXWFv
212,215.jpg,1,2,1,1,1.0,http://elraaed.com/ara/thumbnail.php?file=24_255931958_380343031.jpg&size=article_large
213,217.jpg,1,1,137,1,,not found
